sample,component_pages_allocated,directories_allocated,component_values_copied,directory_entries_copied,candidate_bodies_scanned,changed_bodies,body_reconstructions
679,4,2,256,314,100,100,0
680,4,2,256,314,100,100,0
681,4,2,256,314,100,100,0
682,4,2,256,314,100,100,0
683,4,2,256,314,100,100,0
684,4,2,256,314,100,100,0
685,4,2,256,314,100,100,0
686,4,2,256,314,100,100,0
687,4,2,256,314,100,100,0
688,4,2,256,314,100,100,0
689,4,2,256,314,100,100,0
690,4,2,256,314,100,100,0
691,4,2,256,314,100,100,0
692,4,2,256,314,100,100,0
693,4,2,256,314,100,100,0
694,4,2,256,314,100,100,0
695,4,2,256,314,100,100,0
696,4,2,256,314,100,100,0
697,4,2,256,314,100,100,0
698,4,2,256,314,100,100,0
699,4,2,256,314,100,100,0
700,4,2,256,314,100,100,0
701,4,2,256,314,100,100,0
702,4,2,256,314,100,100,0
703,4,2,256,314,100,100,0
704,4,2,256,314,100,100,0
705,4,2,256,314,100,100,0
706,4,2,256,314,100,100,0
707,4,2,256,314,100,100,0
708,4,2,256,314,100,100,0
709,4,2,256,314,100,100,0
710,4,2,256,314,100,100,0
711,4,2,256,314,100,100,0
712,4,2,256,314,100,100,0
713,4,2,256,314,100,100,0
714,4,2,256,314,100,100,0
715,4,2,256,314,100,100,0
716,4,2,256,314,100,100,0
717,4,2,256,314,100,100,0
718,4,2,256,314,100,100,0
719,4,2,256,314,100,100,0
720,4,2,256,314,100,100,0
721,4,2,256,314,100,100,0
722,4,2,256,314,100,100,0
723,4,2,256,314,100,100,0
724,4,2,256,314,100,100,0
725,4,2,256,314,100,100,0
726,4,2,256,314,100,100,0
727,4,2,256,314,100,100,0
728,4,2,256,314,100,100,0
729,4,2,256,314,100,100,0
730,4,2,256,314,100,100,0
731,4,2,256,314,100,100,0
732,4,2,256,314,100,100,0
733,4,2,256,314,100,100,0
734,4,2,256,314,100,100,0
735,4,2,256,314,100,100,0
736,4,2,256,314,100,100,0
737,4,2,256,314,100,100,0
738,4,2,256,314,100,100,0
739,4,2,256,314,100,100,0
740,4,2,256,314,100,100,0
741,4,2,256,314,100,100,0
742,4,2,256,314,100,100,0
743,4,2,256,314,100,100,0
744,4,2,256,314,100,100,0
745,4,2,256,314,100,100,0
746,4,2,256,314,100,100,0
747,4,2,256,314,100,100,0
748,4,2,256,314,100,100,0
749,4,2,256,314,100,100,0
750,4,2,256,314,100,100,0
751,4,2,256,314,100,100,0
752,4,2,256,314,100,100,0
753,4,2,256,314,100,100,0
754,4,2,256,314,100,100,0
755,4,2,256,314,100,100,0
756,4,2,256,314,100,100,0
757,4,2,256,314,100,100,0
758,4,2,256,314,100,100,0
759,4,2,256,314,100,100,0
760,4,2,256,314,100,100,0
761,4,2,256,314,100,100,0
762,4,2,256,314,100,100,0
763,4,2,256,314,100,100,0
764,4,2,256,314,100,100,0
765,4,2,256,314,100,100,0
766,4,2,256,314,100,100,0
767,4,2,256,314,100,100,0
768,4,2,256,314,100,100,0
769,4,2,256,314,100,100,0
770,4,2,256,314,100,100,0
771,4,2,256,314,100,100,0
772,4,2,256,314,100,100,0
773,4,2,256,314,100,100,0
774,4,2,256,314,100,100,0
775,4,2,256,314,100,100,0
776,4,2,256,314,100,100,0
777,4,2,256,314,100,100,0
778,4,2,256,314,100,100,0
779,4,2,256,314,100,100,0
780,4,2,256,314,100,100,0
781,4,2,256,314,100,100,0
782,4,2,256,314,100,100,0
783,4,2,256,314,100,100,0
784,4,2,256,314,100,100,0
785,4,2,256,314,100,100,0
786,4,2,256,314,100,100,0
787,4,2,256,314,100,100,0
788,4,2,256,314,100,100,0
789,4,2,256,314,100,100,0
790,4,2,256,314,100,100,0
791,4,2,256,314,100,100,0
792,4,2,256,314,100,100,0
793,4,2,256,314,100,100,0
794,4,2,256,314,100,100,0
795,4,2,256,314,100,100,0
796,4,2,256,314,100,100,0
797,4,2,256,314,100,100,0
798,4,2,256,314,100,100,0
799,4,2,256,314,100,100,0
800,4,2,256,314,100,100,0
801,4,2,256,314,100,100,0
802,4,2,256,314,100,100,0
803,4,2,256,314,100,100,0
804,4,2,256,314,100,100,0
805,4,2,256,314,100,100,0
806,4,2,256,314,100,100,0
807,4,2,256,314,100,100,0
808,4,2,256,314,100,100,0
809,4,2,256,314,100,100,0
810,4,2,256,314,100,100,0
811,4,2,256,314,100,100,0
812,4,2,256,314,100,100,0
813,4,2,256,314,100,100,0
814,4,2,256,314,100,100,0
815,4,2,256,314,100,100,0
816,4,2,256,314,100,100,0
817,4,2,256,314,100,100,0
818,4,2,256,314,100,100,0
819,4,2,256,314,100,100,0
820,4,2,256,314,100,100,0
821,4,2,256,314,100,100,0
822,4,2,256,314,100,100,0
823,4,2,256,314,100,100,0
824,4,2,256,314,100,100,0
825,4,2,256,314,100,100,0
826,4,2,256,314,100,100,0
827,4,2,256,314,100,100,0
828,4,2,256,314,100,100,0
829,4,2,256,314,100,100,0
830,4,2,256,314,100,100,0
831,4,2,256,314,100,100,0
832,4,2,256,314,100,100,0
833,4,2,256,314,100,100,0
834,4,2,256,314,100,100,0
835,4,2,256,314,100,100,0
836,4,2,256,314,100,100,0
837,4,2,256,314,100,100,0
838,4,2,256,314,100,100,0
839,4,2,256,314,100,100,0
840,4,2,256,314,100,100,0
841,4,2,256,314,100,100,0
842,4,2,256,314,100,100,0
843,4,2,256,314,100,100,0
844,4,2,256,314,100,100,0
845,4,2,256,314,100,100,0
846,4,2,256,314,100,100,0
847,4,2,256,314,100,100,0
848,4,2,256,314,100,100,0
849,4,2,256,314,100,100,0
850,4,2,256,314,100,100,0
