sample,duration_ns,component_pages_allocated,directories_allocated,component_values_copied,directory_entries_copied,candidate_bodies_scanned,changed_bodies
768,5100,4,2,256,314,100,100
769,5100,4,2,256,314,100,100
770,5200,4,2,256,314,100,100
771,5100,4,2,256,314,100,100
772,5100,4,2,256,314,100,100
773,5000,4,2,256,314,100,100
774,5200,4,2,256,314,100,100
775,5200,4,2,256,314,100,100
776,5100,4,2,256,314,100,100
777,5200,4,2,256,314,100,100
778,5100,4,2,256,314,100,100
779,5100,4,2,256,314,100,100
780,5200,4,2,256,314,100,100
781,5300,4,2,256,314,100,100
782,5100,4,2,256,314,100,100
783,5100,4,2,256,314,100,100
784,5100,4,2,256,314,100,100
785,5200,4,2,256,314,100,100
786,5100,4,2,256,314,100,100
787,5100,4,2,256,314,100,100
788,5200,4,2,256,314,100,100
789,5100,4,2,256,314,100,100
790,5200,4,2,256,314,100,100
791,5100,4,2,256,314,100,100
792,5200,4,2,256,314,100,100
793,5100,4,2,256,314,100,100
794,5300,4,2,256,314,100,100
795,5100,4,2,256,314,100,100
796,5200,4,2,256,314,100,100
797,5100,4,2,256,314,100,100
798,5100,4,2,256,314,100,100
799,5100,4,2,256,314,100,100
800,5200,4,2,256,314,100,100
801,5100,4,2,256,314,100,100
