sample,duration_ns,candidate_bodies_scanned,inactive_bodies_skipped,changed_bodies
856,5200,100,9900,100
857,5000,100,9900,100
858,5100,100,9900,100
859,5100,100,9900,100
860,5200,100,9900,100
861,5100,100,9900,100
862,5200,100,9900,100
863,5100,100,9900,100
864,5200,100,9900,100
865,5000,100,9900,100
866,5200,100,9900,100
867,5200,100,9900,100
868,5100,100,9900,100
869,5200,100,9900,100
870,5100,100,9900,100
871,5200,100,9900,100
872,5100,100,9900,100
873,5100,100,9900,100
874,5200,100,9900,100
875,5100,100,9900,100
876,5100,100,9900,100
877,5100,100,9900,100
878,5200,100,9900,100
879,5000,100,9900,100
880,5200,100,9900,100
881,5100,100,9900,100
882,5100,100,9900,100
883,5100,100,9900,100
884,5200,100,9900,100
885,5200,100,9900,100
886,5100,100,9900,100
887,5100,100,9900,100
888,5200,100,9900,100
889,5200,100,9900,100
890,18100,100,9900,100
891,8000,100,9900,100
892,5100,100,9900,100
893,5000,100,9900,100
894,5000,100,9900,100
895,5000,100,9900,100
896,5100,100,9900,100
897,5100,100,9900,100
898,5000,100,9900,100
899,5100,100,9900,100
900,5100,100,9900,100
901,6200,100,9900,100
902,5100,100,9900,100
903,4900,100,9900,100
904,5000,100,9900,100
905,5000,100,9900,100
906,5000,100,9900,100
907,5000,100,9900,100
908,5100,100,9900,100
909,5000,100,9900,100
910,4900,100,9900,100
911,5100,100,9900,100
912,5000,100,9900,100
913,5000,100,9900,100
914,5000,100,9900,100
915,5100,100,9900,100
916,5000,100,9900,100
917,5000,100,9900,100
918,5000,100,9900,100
919,5100,100,9900,100
920,5000,100,9900,100
921,5000,100,9900,100
922,4900,100,9900,100
923,5000,100,9900,100
924,5000,100,9900,100
925,5000,100,9900,100
926,5000,100,9900,100
927,4900,100,9900,100
928,5100,100,9900,100
929,5000,100,9900,100
930,5000,100,9900,100
931,5100,100,9900,100
932,5100,100,9900,100
933,5000,100,9900,100
934,5100,100,9900,100
935,5000,100,9900,100
936,5000,100,9900,100
937,5100,100,9900,100
938,5000,100,9900,100
939,5000,100,9900,100
940,5000,100,9900,100
941,5000,100,9900,100
942,5100,100,9900,100
943,4900,100,9900,100
944,5000,100,9900,100
945,5000,100,9900,100
946,5200,100,9900,100
947,5100,100,9900,100
948,5000,100,9900,100
949,5000,100,9900,100
950,5000,100,9900,100
951,5000,100,9900,100
952,5000,100,9900,100
953,5000,100,9900,100
954,5000,100,9900,100
955,5000,100,9900,100
956,5000,100,9900,100
957,5000,100,9900,100
958,5000,100,9900,100
959,5000,100,9900,100
960,5100,100,9900,100
961,5000,100,9900,100
962,4900,100,9900,100
963,5000,100,9900,100
964,4900,100,9900,100
965,5000,100,9900,100
966,4900,100,9900,100
967,5100,100,9900,100
968,5000,100,9900,100
969,5100,100,9900,100
970,5000,100,9900,100
971,5000,100,9900,100
972,5100,100,9900,100
973,5000,100,9900,100
974,5000,100,9900,100
975,5000,100,9900,100
976,5000,100,9900,100
977,4900,100,9900,100
978,5000,100,9900,100
979,5000,100,9900,100
980,5000,100,9900,100
981,5000,100,9900,100
982,5100,100,9900,100
983,5000,100,9900,100
984,5100,100,9900,100
985,5000,100,9900,100
986,5100,100,9900,100
987,5000,100,9900,100
988,5100,100,9900,100
989,5100,100,9900,100
990,5000,100,9900,100
991,5000,100,9900,100
992,5000,100,9900,100
993,5000,100,9900,100
994,5000,100,9900,100
995,5100,100,9900,100
996,5000,100,9900,100
997,5100,100,9900,100
998,5000,100,9900,100
999,5000,100,9900,100
